id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,adultsmoke,year_value,rooms,nusing,present,sport_basket,sport_soccer,sport_run,school,has_sib,toa_smoke,toa_drink,toa_mj,exposure_smoke,exposure_count,exposure_smoke_se,exposure_female,exposure_2steps,exposure_indegree,exposure_density,exposure_team,exposure_simmelian,indegree,outdegree,ego_density,exposure_perceived_count,exposure_perceived
114-0432,4,,0,4.5,,,,0,,,,2013,4,0,,,,,114,1,,,,0,0,0.169345476303786,0,0,0,0,0,0,0,0,0,0,0
114-0433,1,0,0,2.5,0,0,0,0,0,0,1,2010,4,0,1,,,,114,1,,,,,,,,,,,,,0,12,0.121794871794872,0,
114-0433,2,0,0,2.5,0,0,0,0,0,0,1,2011,4,0,1,,,,114,1,,,,0,0,0.279634328864579,0,0.0555555555555556,0,0,0,0,1,7,0.160714285714286,0,0
114-0433,3,0,0,3,0,0,0,0,0,1,1,2012,4,0,1,1,,,114,1,,,,0.142857142857143,1,0.8563134894455,0.142857142857143,0.0909090909090909,0.195121951219512,0.137614678899083,0,0,0,3,0.25,0,0
114-0433,4,0,0,3.5,0,0,0,0,0,1,0,2013,4,0,1,,,,114,1,,,,0.333333333333333,1,0.237424632635167,0.5,0.285714285714286,0.571428571428571,0,0,0,0,10,0.163636363636364,0,0
114-0435,1,0,0,4.5,0,0,0,0,0,0,0,2010,3,0,1,,,,114,1,,,,,,,,,,,,,3,3,0.416666666666667,0,
114-0435,2,0,0,4.5,0,0,0,0,0,0,0,2011,4,0,1,,,,114,1,,,,0,0,0.109106186713324,0,0.125,0,0,0,0,5,1,0.5,0,0
114-0435,3,0,0,4.5,0,0,0,0,0,0,0,2012,4,0,1,,1,,114,1,,,,0,0,0.0625647988319811,0,0,0,0,0,0,3,1,0.5,0,0
114-0435,4,0,0,5,0,0,0,0,0,0,0,2013,4,0,1,,,,114,1,,,,0,0,0.0896772520085621,0,0,0,0,0,0,2,2,0.5,0,0
114-0437,1,0,0,4.5,0,0,0,0,0,0,0,2010,4,0,1,,,,114,0,,,,,,,,,,,,,2,4,0.35,0,
114-0437,2,0,0,4.5,0,0,0,0,0,1,0,2011,4,0,1,,,,114,0,,,,0,0,0.170975579000107,0,0.0454545454545455,0,0,0,0,2,3,0.333333333333333,0,0
114-0437,3,0,0,5,0,,0,0,0,0,0,2012,4,1,1,,,,114,0,,,,0,0,0.216900048233464,0,0,0,0,0,0,1,2,0.333333333333333,1,0
114-0437,4,0,0,4.5,0,0,0,0,0,0,0,2013,4,0,1,,,,114,0,,,,0,0,0.25728627277212,0,0,0,0,0,0,3,4,0.35,0,0.5
114-0438,1,0,1,4.5,0,0,0,0,0,1,1,2010,4,0,1,,,,114,0,,,,,,,,,,,,,4,9,0.277777777777778,0,
114-0438,2,0,1,4.5,0,0,0,0,0,1,1,2011,4,0,1,,,,114,0,,,,0.111111111111111,1,0.00507174611048224,0,0.0754716981132076,0.0845070422535211,0.201961915753029,0,0,4,11,0.159090909090909,0,0
114-0438,3,0,1,4.5,0,0,0,0,0,1,1,2012,4,0,1,,,,114,0,,,,0,0,0.859363623742163,0,0.0357142857142857,0,0,0,0,7,13,0.153846153846154,0,0
114-0438,4,0,1,3.5,0,0,0,0,0,1,1,2013,4,0,1,,,,114,0,,,,0.230769230769231,3,0.0772125653154122,0.166666666666667,0.137931034482759,0.208333333333333,0.0932421632181867,0,0,4,10,0.190909090909091,0,0
114-0441,1,0,1,4.5,0,0,0,0,0,0,0,2010,3,0,1,,,,114,1,,3,,,,,,,,,,,4,2,0.666666666666667,0,
114-0441,2,0,1,4.5,0,0,0,0,0,0,0,2011,3,0,1,,,,114,1,,3,,0,0,-2.18358086688458e-14,0,0,0,0,0,0,5,2,0.333333333333333,0,0
114-0441,3,0,1,4.5,0,1,0,0,0,1,1,2012,3,1,1,,,1,114,1,,3,,0,0,0.113817123330237,0,0,0,0,0,0,10,3,0.5,1,0
114-0441,4,0,1,4.5,0,1,0,0,0,0,0,2013,3,3,1,,,1,114,1,,3,,0,0,0.0713386419821151,0,0,0,0,0,0,4,4,0.35,3,0.333333333333333
114-0442,1,0,1,4,0,1,0,0,0,1,1,2010,3,0,1,1,,1,114,1,,1,,,,,,,,,,,5,6,0.285714285714286,0,
114-0442,2,0,1,4,0,1,0,0,0,1,1,2011,3,1,1,1,,,114,1,,1,,0,0,0.00765583227108135,0,0.0697674418604651,0,0,0,0,2,4,0.45,1,0
114-0442,3,0,1,4,0,1,0,0,0,1,1,2012,3,1,1,1,,,114,1,,1,,0,0,0.183103673281105,0,0.133333333333333,0,0,0,0,3,0,0,1,0.25
114-0442,4,0,1,4.5,0,1,0,1,1,1,1,2013,3,0,1,,,,114,1,,1,,0,0,0.213343836772436,0,0,0,0,0,0,0,2,0.333333333333333,0,0
114-0443,1,0,0,3.5,0,0,0,0,0,0,1,2010,6,0,1,,,,114,1,,,,,,,,,,,,,1,0,0,0,
114-0443,2,0,0,3.5,0,0,0,0,0,1,1,2011,6,0,1,,,,114,1,,,,0,0,0.0926960350251821,0,0,0,0,0,0,1,3,0.25,0,0
